name,image,description,brand,category,price,countInStock,rating,numReviews
Airpods Wireless Bluetooth Headphones,/images/airpods.jpg,Bluetooth technology lets you connect it with compatible devices wirelessly High-quality AAC audio offers immersive listening experience Built-in microphone allows you to take calls while working,Apple,Electronics,89.99,10,4.5,12
iPhone 11 Pro 256GB Memory,/images/phone.jpg,Introducing the iPhone 11 Pro. A transformative triple-camera system that adds tons of capability without complexity. An unprecedented leap in battery life,Apple,Electronics,599.99,7,4,8
Cannon EOS 80D DSLR Camera,/images/camera.jpg,"Characterized by versatile imaging specs, the Canon EOS 80D further clarifies itself using a pair of robust focusing systems and an intuitive design",Cannon,Electronics,929.99,5,3,12
Sony Playstation 4 Pro White Version,/images/playstation.jpg,"The ultimate home entertainment center starts with PlayStation. Whether you are into gaming, HD movies, television, music",Sony,Electronics,399.99,11,5,12
Logitech G-Series Gaming Mouse,/images/mouse.jpg,Get a better handle on your games with this Logitech LIGHTSYNC gaming mouse. The six programmable buttons allow customization for a smooth playing experience,Logitech,Electronics,49.99,7,3.5,10
Amazon Echo Dot 3rd Generation,/images/alexa.jpg,Meet Echo Dot - Our most popular smart speaker with a fabric design. It is our most compact smart speaker that fits perfectly into small space,Amazon,Electronics,29.99,10,4,12
Sony Noise Cancelling Headphones,https://example.com/images/sony_headphones.jpg,"These Sony headphones feature industry-leading noise cancellation technology, delivering a truly immersive listening experience. The headphones are wireless, with up to 30 hours of battery life, and feature touch controls for easy operation.",Local Brand,Electronics,99.99,5,4,0
Apple iPhone 13,https://example.com/images/iphone_13.jpg,"The iPhone 13 features a stunning Super Retina XDR display, A15 Bionic chip, and 5G connectivity. The dual-camera system takes stunning photos and videos, and the device is available in a range of colors and storage capacities.",Local Brand,Electronics,99.99,5,4,0
Samsung 4K Smart TV,https://example.com/images/samsung_tv.jpg,"This Samsung 4K Smart TV features a crystal clear 65-inch display, with rich colors and deep blacks. The TV is equipped with built-in Wi-Fi and support for popular streaming services, such as Netflix and Hulu. The TV also features voice control for easy operation.",Local Brand,Electronics,99.99,5,4,0
Bose QuietComfort Earbuds,https://example.com/images/bose_earbuds.jpg,"These wireless earbuds from Bose feature noise cancellation technology and a comfortable, secure fit. The earbuds provide up to 6 hours of battery life and come with a charging case for on-the-go charging.",Local Brand,Electronics,99.99,5,4,0
Amazon Echo Dot 4th Gen,https://example.com/images/echo_dot.jpg,"The Amazon Echo Dot is a compact smart speaker with Alexa built-in. The speaker delivers clear, balanced sound, and can be controlled with your voice, the Alexa app, or physical buttons.",Local Brand,Electronics,99.99,5,4,0
GoPro HERO10 Black,https://example.com/images/gopro_hero10.jpg,The GoPro HERO10 Black is a powerful action camera with 5.3K video and 23MP photos. The camera features HyperSmooth 4.0 video stabilization and can record up to 240 frames per second for slow-motion footage.,Local Brand,Electronics,99.99,5,4,0
DJI Mavic Air 2S,https://example.com/images/dji_mavic_air2s.jpg,The DJI Mavic Air 2S is a compact drone with a 1-inch CMOS sensor and 5.4K video. The drone can fly for up to 31 minutes and features obstacle avoidance sensors for safe flying.,Local Brand,Electronics,99.99,5,4,0
Samsung Galaxy Watch4 Classic,https://example.com/images/samsung_watch4.jpg,"The Samsung Galaxy Watch4 Classic is a stylish smartwatch with a rotating bezel and a range of health tracking features. The watch can track your sleep, heart rate, and stress levels, and is compatible with a range of Android apps.",Local Brand,Electronics,99.99,5,4,0
Apple iPad Pro 5th Gen,https://example.com/images/ipad_pro.jpg,"The Apple iPad Pro (5th Gen) is a powerful tablet with a Liquid Retina XDR display and the A14 Bionic chip. The tablet supports the Apple Pencil and Magic Keyboard, and features 5G connectivity for fast internet speeds.",Local Brand,Electronics,99.99,5,4,0
Sony Alpha 7 III,https://example.com/images/sony_alpha7.jpg,The Sony Alpha 7 III is a full-frame mirrorless camera with a 24.2MP sensor and 4K video. The camera features 5-axis image stabilization and a fast autofocus system for capturing stunning photos and videos.,Local Brand,Electronics,99.99,5,4,0
LG CX Series 4K OLED TV,https://example.com/images/lg_tv.jpg,"This LG 4K OLED TV features a stunning 65-inch display with rich, vibrant colors. The TV supports HDR and Dolby Vision for an immersive viewing experience, and features LG's WebOS platform for easy access to your favorite streaming services.",Local Brand,Electronics,99.99,5,4,0
