name,image,description,brand,category,price,countInStock,rating,numReviews
Airpods Wireless Bluetooth Headphones,/images/airpods.jpg,Bluetooth technology lets you connect it with compatible devices wirelessly High-quality AAC audio offers immersive listening experience Built-in microphone allows you to take calls while working,Apple,Electronics,89.99,10,4.5,12
iPhone 11 Pro 256GB Memory,/images/phone.jpg,Introducing the iPhone 11 Pro. A transformative triple-camera system that adds tons of capability without complexity. An unprecedented leap in battery life,Apple,Electronics,599.99,7,4,8
Cannon EOS 80D DSLR Camera,/images/camera.jpg,"Characterized by versatile imaging specs, the Canon EOS 80D further clarifies itself using a pair of robust focusing systems and an intuitive design",Cannon,Electronics,929.99,5,3,12
Sony Playstation 4 Pro White Version,/images/playstation.jpg,"The ultimate home entertainment center starts with PlayStation. Whether you are into gaming, HD movies, television, music",Sony,Electronics,399.99,11,5,12
Logitech G-Series Gaming Mouse,/images/mouse.jpg,Get a better handle on your games with this Logitech LIGHTSYNC gaming mouse. The six programmable buttons allow customization for a smooth playing experience,Logitech,Electronics,49.99,7,3.5,10
Amazon Echo Dot 3rd Generation,/images/alexa.jpg,Meet Echo Dot - Our most popular smart speaker with a fabric design. It is our most compact smart speaker that fits perfectly into small space,Amazon,Electronics,29.99,10,5,12
Sony Noise Cancelling Headphones,/IMAGES/Sony Noise Cancelling Headphones.jpg,"These Sony headphones feature industry-leading noise cancellation technology, delivering a truly immersive listening experience. The headphones are wireless, with up to 30 hours of battery life, and feature touch controls for easy operation.",Sony,Electronics,348,87,4.5,77
Apple iPhone 13,/images/Iphone 13.jpg,"The iPhone 13 features a stunning Super Retina XDR display, A15 Bionic chip, and 5G connectivity. The dual-camera system takes stunning photos and videos, and the device is available in a range of colors and storage capacities.",Apple,Electronics,699,62,2,84
Samsung 4K Smart TV,/images/Samsung 4K Smart TV.jpg,"This Samsung 4K Smart TV features a crystal clear 65-inch display, with rich colors and deep blacks. The TV is equipped with built-in Wi-Fi and support for popular streaming services, such as Netflix and Hulu. The TV also features voice control for easy operation.",Samsung,Electronics,897.99,96,3,76
Bose QuietComfort Earbuds,/images/Bose QuietComfort Earbuds.jpg,"These wireless earbuds from Bose feature noise cancellation technology and a comfortable, secure fit. The earbuds provide up to 6 hours of battery life and come with a charging case for on-the-go charging.",Bose,Electronics,199,38,2.5,32
Amazon Echo Dot 4th Gen,/images/Amazon Echo Dot 4th Gen.jpg,"The Amazon Echo Dot is a compact smart speaker with Alexa built-in. The speaker delivers clear, balanced sound, and can be controlled with your voice, the Alexa app, or physical buttons.",Amazon,Electronics,50,72,1,33
GoPro HERO10 Black,/images/GoPro HERO10 Black.jpg,The GoPro HERO10 Black is a powerful action camera with 5.3K video and 23MP photos. The camera features HyperSmooth 4.0 video stabilization and can record up to 240 frames per second for slow-motion footage.,GoPro,Electronics,499.99,81,2.5,21
DJI Mavic Air 2S,/images/DJI Mavic Air 2S.jpg,The DJI Mavic Air 2S is a compact drone with a 1-inch CMOS sensor and 5.4K video. The drone can fly for up to 31 minutes and features obstacle avoidance sensors for safe flying.,DJI,Electronics,849,21,4,70
Samsung Galaxy Watch4 Classic,/images/Samsung Galaxy Watch4 Classic.jpg,"The Samsung Galaxy Watch4 Classic is a stylish smartwatch with a rotating bezel and a range of health tracking features. The watch can track your sleep, heart rate, and stress levels, and is compatible with a range of Android apps.",Samsung,Electronics,199,71,3.5,23
Apple iPad Pro 5th Gen,/images/Apple iPad Pro 5th Gen.jpg,"The Apple iPad Pro (5th Gen) is a powerful tablet with a Liquid Retina XDR display and the A14 Bionic chip. The tablet supports the Apple Pencil and Magic Keyboard, and features 5G connectivity for fast internet speeds.",Apple,Electronics,699.99,17,2.5,45
Sony Alpha 7 III,/images/Sony Alpha 7 III.jpg,The Sony Alpha 7 III is a full-frame mirrorless camera with a 24.2MP sensor and 4K video. The camera features 5-axis image stabilization and a fast autofocus system for capturing stunning photos and videos.,Sony,Electronics,1998,47,3,26
LG CX Series 4K OLED TV,/images/LG CX Series 4K OLED TV.jpg,"This LG 4K OLED TV features a stunning 65-inch display with rich, vibrant colors. The TV supports HDR and Dolby Vision for an immersive viewing experience, and features LG's WebOS platform for easy access to your favorite streaming services.",LG,Electronics,2297.97,98,2,47
